,GHI
309,1816.464
310,1789.267
311,1788.512
312,1977.1180000000002
313,1816.624
314,1991.8100000000002
315,1826.226
316,2146.587
317,1812.105
318,2065.089
319,1822.0130000000004
320,1902.9070000000002
321,1784.088
322,2055.4719999999998
323,2035.8250000000003
324,1782.6119999999999
325,1973.356
326,2006.3829999999998
327,1849.066
328,1861.434
329,2097.8630000000003
330,1995.048
331,1929.3180000000002
332,1943.165
333,2009.2180000000003
334,2201.902
335,1824.303
336,2037.487
337,1936.374
338,1961.6109999999999
339,1801.9060000000002
340,1820.4130000000002
341,1799.761
342,1777.5110000000002
343,1954.8310000000001
344,1814.175
345,1834.8580000000002
346,1936.595
347,1935.015
348,2164.86
349,1955.0030000000002
350,2025.114
351,1927.1820000000002
352,2037.9460000000001
353,1988.2469999999998
354,1832.297
355,1943.343
356,1991.993
357,1816.632
358,1859.1439999999998
359,1801.555
360,1775.5140000000001
361,2155.804
362,1897.922
363,1801.842
364,1788.879
365,1843.4189999999999
366,1794.826
367,2113.3790000000004
368,1878.7390000000003
369,1925.784
370,1828.1819999999998
371,1765.9560000000001
372,1768.6750000000002
373,1993.632
374,2043.121
375,2076.462
376,1902.239
377,1993.7359999999999
378,2136.885
379,2003.2839999999999
380,1997.1529999999998
381,1822.575
382,1780.716
383,1946.988
384,2036.276
385,1933.213
386,1803.048
387,1992.777
388,1779.252
389,1775.2810000000002
390,1916.478
391,1782.77
392,2005.572
393,1762.091
394,1789.0939999999998
395,1977.571
396,1816.955
397,1842.047
398,2007.074
399,1778.0169999999998
400,1976.9059999999997
401,1786.6659999999997
402,1767.8580000000002
403,2028.435
404,2007.155
405,1811.0349999999999
406,2053.2549999999997
407,1969.024
408,2133.925
409,1815.108
410,1765.0020000000002
411,1938.241
412,1998.975
413,1813.203
414,1855.7459999999999
415,1915.7910000000002
416,1900.1460000000002
417,2037.487
418,1945.528
419,1784.23
420,1983.194
421,1834.1680000000001
422,1993.971
423,1922.1019999999999
424,1948.253
425,1950.9080000000001
426,1795.81
427,1770.101
428,2004.5819999999999
429,1879.5929999999998
430,1811.7060000000001
431,2008.1100000000001
432,1987.232
433,1992.669
434,1993.6260000000002
435,1775.62
436,1759.057
437,1759.5870000000002
438,1768.133
439,1775.063
440,1762.198
441,1954.9150000000002
442,1993.194
443,1988.35
444,1847.096
445,2060.674
446,1977.554
447,1997.722
448,2073.8810000000003
449,1777.938
450,1963.2349999999997
451,2009.01
452,1822.055
453,1957.938
454,2047.1210000000003
455,1987.864
456,1782.919
457,1985.511
458,1769.9900000000002
459,1837.319
460,1835.842
461,2152.345
462,2004.4210000000003
463,1886.567
464,1798.727
465,1826.778
466,1993.52
467,1820.62
468,2007.558
469,2019.058
470,2132.571
471,1924.909
472,1909.6629999999998
473,1943.5729999999999
474,1786.8400000000001
475,1977.208
476,1986.9650000000001
